id,youtube-id,region,start-ts,end-ts
987f5074-882c-49e4-bcc2-417994875a63,Wq9T2tBb7bQ,Aegean-sea,0,180
8fe8dcb3-ffbf-4c8b-bacf-3549ac6de207,edwvUO9GquM,Aegean-sea,0,180
f25251a9-59e0-404a-9533-8f3127627c94,Gj_uyOxBhZI,Aegean-sea,0,180
64c55a05-650d-4c02-8d60-b25ea6bae9d2,SMDLYFO8PuM,Aegean-sea,0,180
500fa185-9a63-4eb0-9f70-a58ad4c335ca,BIT8XUCZJP8,Aegean-sea,0,180
29065343-1010-4aba-81c1-021c7b9886a5,hhihQ0DTyt4,Aegean-sea,0,180
68d215b6-1b14-4b74-a1d4-d483284112d0,1saHbL48Rss,Aegean-sea,0,180
73c2749e-d592-40e3-96ea-545c4c9e55c1,WiZeWwEwECY,Aegean-sea,0,180
d386c191-e6c1-4406-96d2-7b6a607c5415,jWRbbHe1ryU,Aegean-sea,0,180
5abba3da-4082-40f5-86f7-2c8b0228159a,Po3fuajrmD8,Aegean-sea,0,180
1a1c05e4-3af1-4a0e-a8ff-e6ff1c842463,l9qQ4xgbhXM,Aegean-sea,0,180
f93091aa-d644-413b-ad64-20ccf50ce9e4,VVTaDoUSQno,Aegean-sea,0,180
07cb00d1-dc34-4510-826d-519eaebff8d6,e4d83ykYC40,Aegean-sea,145,325
7e38d7cf-a162-4141-958e-4de290fdf392,cbfdGSoHicU,Aegean-sea,0,180
73cb5307-59fc-4a1f-ba94-645c986311d2,xjmTVtqxfuE,Aegean-sea,0,180
884e97d4-b9d6-41e7-8366-0d4632c6dfa4,kAT8p7DVo10,Aegean-sea,0,180
36b708fe-e7f3-46e6-b327-2d3591fb0142,KUbS15ppAbA,Aegean-sea,0,180
8e7bf0b9-0e74-405d-918c-55957f4d2f70,CWt0rrMhfIU,Aegean-sea,0,180
78f988be-b577-4527-93ab-ec595a634774,OnU0VBtUbCg,Aegean-sea,0,180
65318240-ffaa-4c0b-b0ec-c3d3d061f8e9,zpszgAcbJ50,Aegean-sea,0,180
c671b9bc-6dad-4648-afc5-a168dd67bfec,EnXWCj6CAPY,Aegean-sea,0,180
af9aad25-83a5-41ad-8d3c-17b807bb263d,BoVyNAiRDSM,Aegean-sea,0,180
1f77e417-2442-4941-bc62-21dc5cb332fc,O6QND4pdcis,Aegean-sea,0,180
61d28ac1-195c-4960-ae75-917c089f0b68,j64Ja56ETlM,Aegean-sea,0,180
e43355f5-23d0-465f-83e9-de750b85a5fe,86atTWdLGAk,Aegean-sea,0,180
f7da372d-18d4-497d-813f-d7e6389b7b73,O9Wx_rVhv1c,Aegean-sea,0,180
5af5a14d-75c6-41b1-af8d-fdd8174f1f24,XQOqN8c-YgY,Aegean-sea,0,180
cbc0988c-e914-42cc-b0a2-582b36abf641,RFsLV-gSP2E,Aegean-sea,0,180
e8cd5bf3-c833-4ab9-88ab-895464a7c613,zkCCwXychHk,Aegean-sea,0,180
07c611cb-c1cd-4f45-9653-718437c44fe4,eOG7gOxWJnY,Aegean-sea,0,180
da8b91f6-6333-4816-8581-ea0bdba89354,Qn5uK2VgHvg,Aegean-sea,0,180
aec2d9aa-1406-41b0-a4db-c895bf3cd413,ty8AJgQhFJY,Aegean-sea,0,180
882f604f-a61b-4802-bfb5-ed35d68216bd,s0jXKUcBwQw,Aegean-sea,0,180
2b26630e-25a3-43ba-afe1-7548cd318692,T-qzeQpe8ro,Aegean-sea,0,180
71afb46c-6bd2-4526-a5b7-3116fc026a3e,mhUd1QZx6u4,Aegean-sea,0,180
605cf1e3-d9a9-47fe-bfb5-d1234f49c645,qSl7bfd882k,Aegean-sea,0,180
5dcf32ad-c034-4900-8c55-9eb6ccda527e,Ov7pyzQ68YM,Aegean-sea,0,180
992ed33c-73e3-4631-b66f-c2b9cf4ade1e,tGLxyuH2W1k,Aegean-sea,0,180
6efbf1d9-7dfd-474f-82eb-dc99cf7824dd,57Ce5AYTnJU,Aegean-sea,0,180
ca14672b-ba79-4275-b695-cfd4b0faba3f,sbzJDdiyrNU,Aegean-sea,0,180
804eb6f1-5ea2-4792-a0e5-9d4368cf39a0,nmcQSJBzRws,Aegean-sea,0,180
d031780a-8d3c-4996-8249-96d441f061f6,nmcQSJBzRws,Aegean-sea,0,180
86133a4a-9c33-42b7-b265-f18f7502db1a,Xl-oCg_UlVs,Aegean-sea,0,180
4467480d-669c-4eb1-9c34-f410841dd286,22SqUow-l3k,Aegean-sea,0,180
10c6b5b6-d65f-4be1-9bf9-3b8cd4a7caef,x86-70Qtgzw,Aegean-sea,0,180
826f22c6-7c78-4ec9-a770-4c47025b5812,hv8LCoJwJDc,Aegean-sea,0,180
4c1d033f-9dfc-4b7c-a918-fab3ba8cf4eb,uJyJu6OHGgo,Aegean-sea,0,180
e2a01179-d0be-4ba7-b6bb-4fedc3ef1776,ar0wKc3-vO8,Aegean-sea,0,180
a6cc09d8-e9f0-4ce7-b9b6-a8701e5b4401,v2KNT8U5o3Y,Aegean-sea,0,180
6ba34fd8-7a98-444b-b027-d527b0e3d9b8,a888fYY3JpY,Aegean-sea,0,180
98796878-0899-4d4d-a2f6-9faf7f044b56,TVw7Aw8eevk,Aegean-sea,0,180
bb24dc72-8836-4dee-89a1-a48f168173f5,-qpfhlqoT58,Aegean-sea,0,180
db8c79e8-b797-49eb-8298-5cd971631788,_2epxeZY93Q,Aegean-sea,0,180
c2316d1c-f2a2-48c2-9287-72a142917481,F2C8boBsp9s,Aegean-sea,0,180
4aa67423-bf9d-41cd-be17-7550d363a795,5EMBJuhcsCA,Aegean-sea,0,180
ec9e72dd-d7e3-462d-8420-24c11ce412f2,eD9IxqPUNCc,Aegean-sea,0,180
74f06b21-8172-49bc-af6e-1eece9e0f846,SN4iI0bj_Lk,Aegean-sea,0,180
f269c537-bc60-4f17-9268-8228e9003538,xMGQ9k4Tyco,Aegean-sea,0,180
38a0f3aa-c5ea-4d61-9b93-9b9d836f52f2,ypdvFLoTFN4,Aegean-sea,0,180
47816ee5-f228-4030-86b8-438d3b26c43d,h35BK5Sy2s0,Aegean-sea,0,180
e770238e-7f0c-4e10-9309-af103a6abef6,BmxAQizXaCQ,Aegean-sea,0,180
038a4986-7fc6-49ce-bb7e-ecf400c002ce,ungPCMWI1i8,Aegean-sea,0,180
907b6405-e4e1-44d7-a50f-2515932b669e,MC_rkPNHZYE,Aegean-sea,0,180
4da9fff4-bf45-4a31-a607-7c147ad87aae,aBNAhwaeyss,Aegean-sea,0,180
28b89560-ee35-4f1f-915d-478c26dcf66c,JC-d-UVCbQo,Aegean-sea,0,180
8b94855a-4385-4848-90f5-5c111d9f3f5c,5fBWb8xtXMY,Aegean-sea,0,180
dbea8f3e-9702-4399-8d5b-951f2aee39bc,wbQGMadMD1g,Aegean-sea,0,180
15ce4ba2-0383-426c-b390-8123bd16d088,Dvbi_8wJkeo,Aegean-sea,0,180
e5334c27-0226-40cf-b013-7d1bab671fe6,Twj0wywEobU,Aegean-sea,0,180
bf968845-5f71-4c47-8883-9e1539196526,OAJboKQ9OmU,Aegean-sea,0,180
